弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,未知信息,弹幕信息,分词结果
476.03700,1,25,16777215,Fri Mar 10 11:01:16 2023,0,2de8c225,1269415140022124800	,8,谭思言没背景还这么刚,谭思言 没 背景 还 刚
410.93600,1,25,16777215,Fri Mar 10 10:38:39 2023,0,2de8c225,1269403756337131520	,8,你看过剧吗？,看过 剧 ？
378.82200,1,25,16777215,Fri Mar 10 09:53:42 2023,0,5732e0d6,1269381125978159616	,8,杜江？,杜江 ？
1035.07000,1,25,16777215,Fri Mar 10 00:13:30 2023,0,a9323202,1269089103627074560	,8,要斗倒坏人，只能比坏人更坏,斗倒 坏人 ， 只能 坏人 更坏
958.20900,1,25,16777215,Fri Mar 10 00:11:02 2023,0,a9323202,1269087859009538816	,8,也可能是一袋洗衣粉,一袋 洗衣粉
713.89400,1,25,16777215,Fri Mar 10 00:06:05 2023,0,a9323202,1269085369807208192	,8,江门是哪个省啊？,江门 省 ？
1059.64500,1,25,16777215,Thu Mar  9 23:24:01 2023,0,7c4c6ca8,1269064199401963520	,8,这是否,
992.95800,1,25,38979,Thu Mar  9 23:22:54 2023,0,7c4c6ca8,1269063637088326656	,8,赛博精神病是吧,赛博 精神病
597.88700,1,25,16707842,Thu Mar  9 23:14:13 2023,0,7c4c6ca8,1269059269341432576	,8,嗨呀，大家都在哪聊天呀？,嗨 ， 都 聊天 ？
397.78500,1,25,16777215,Thu Mar  9 23:09:57 2023,0,7c4c6ca8,1269057117646981376	,8,这不起飞咯,不 起飞 咯
583.27600,1,25,16777215,Thu Mar  9 20:03:19 2023,0,33c58a29,1268963182198917632	,8,分析的牛逼,分析 牛 逼
610.85700,1,25,16777215,Thu Mar  9 17:44:00 2023,0,398cd3ac,1268893063149860608	,8,这话我曾经相信,这话
182.14900,1,25,16777215,Wed Mar  8 12:36:07 2023,0,7893e9d2,1268013327473563904	,8,呵呵洗白,呵呵 洗白
